question,Matched Article Title,context,answer
Apakah keunikan istana budaya?,istana budaya,"Istana Budaya cara rasmi singkat bagai IB ialah teater utama Malaysia untuk sembah seni dan teater dari dalam dan luar negara masuk teater muzikal , opereta , opera , seni tari dan juga sembah orkestra muzik klasikal dan konsert . Ia tubuh pada September 1999 dan letak bahan dengan Balai Seni Lukis Negara di Jalan Tun Abdul Razak di tengah bandaraya Kuala Lumpur . Idea bina teater taraf antarabangsa ini mula dengan cadang pada tahun 1964 untuk tubuh buah pusat budaya bagi ganti Panggung Negara . Kerja bina mula pada tahun 1995 dan siap sepenuh pada tahun 1999 . Sudah siap dan mula operasi , Panggung Negara atau National Theater pindah ke bangun baru ini . Buka Istana Budaya dirasmikan oleh Perdana Menteri Mahathir Mohamad pada tahun 1999 . Sejarah Sejarah Istana Budaya mula pada tahun 1964 apabila cadang wujud Pusat Budaya Bangsa serah oleh Menteri Terang dan Siar serta Menteri Budaya dan Kebaji Sosial . Istana Budaya ilham masa Kongres Budaya Bangsa pada tahun 1971 bagai wahana seni Malaysia . Wujud dahulu dengan tubuh Kumpul Budaya Negara KBN pada tahun 1972 di bawah Menteri Budaya , Belia dan Sukan . Pada tahun 1973 , KBN telah pindah dari Jalan Ampang ke Kompleks Budaya Negara di Jalan Tun Ismail yang tumpu giat cara professional dalam bidang seni tari dan seni muzik tradisional . Istana Budaya mula bina pada tahun 1995 dengan kos bina banyak RM210 juta yang punya luas 5 44 hektar serta luas lantai 21 000 meter persegi . Istana Budaya boleh bangga bagai buah panggung yang pertama di Asia yang punya mekanisme pentas yang canggih untuk mentas teater . Rekabentuk bangun ini adalah ciri budaya Melayu . Istana Budaya letak hampir Tasik Titiwangsa di Jalan Tun Razak , Kuala Lumpur . Bina telah siap pada tahun 1998 . Buka Istana Budaya dirasmikan oleh bekas Perdana Menteri Malaysia , Tun Dr Mahathir Mohammad pada tahun 1999 . Nama Istana Budaya hanya muncul telah ia dirasmikan pada 15 September 1999 mana belum ia rujuk bagai Panggung Negara . Kabinet telah putus pemansuhan guna nama Panggung Negara kepada ISTANA BUDAYA cara rasmi pada tahun 2000 . Objektif Tubuh Istana Budaya tuju untuk naik taraf seni pentas , bangun cemerlang artistik dalam seni teater , hasil sembah teater alit tinggi dan juga untuk naik minat dan harga orang ramai hadap seni artistik . Fungsi Rancang dan laksana sembah alit dalam bidang teater , tari dan muzik di peringkat nasional dan antarabangsa . Tingkat kuantiti sembah yang cemerlang dan unggul di Malaysia . Rancang dan laksana strategi pasar yang kesan lalu teknologi komunikasi bagi tingkat khalayak . Sedia khidmat nasihat dan tingkat pakar seni sembah pentas . Seni bina Uni senibina Istana Budaya sandar konsep beberapa aspek budaya Melayu . Lihat dari atas , bangun Istana Budaya bentuk seperti wau bulan Lantan . Bentuk bangun pula seperti sirih junjung lambang mula upacara yang sering guna dalam istiadat perkahwinan Melayu dan upacara sambut tetamu . Bangun konsep bentuk rumah Melayu dengan tiga bahagian utama serambi untuk lobi , rumah ibu untuk Panggung Sari , serta rumah",Istana Budaya boleh bangga bagai buah panggung yang pertama di Asia yang punya mekanisme pentas yang canggih untuk mentas teater .
Apa yang boleh dilakukan di istana budaya?,istana budaya,"Istana Budaya cara rasmi singkat bagai IB ialah teater utama Malaysia untuk sembah seni dan teater dari dalam dan luar negara masuk teater muzikal , opereta , opera , seni tari dan juga sembah orkestra muzik klasikal dan konsert . Ia tubuh pada September 1999 dan letak bahan dengan Balai Seni Lukis Negara di Jalan Tun Abdul Razak di tengah bandaraya Kuala Lumpur . Idea bina teater taraf antarabangsa ini mula dengan cadang pada tahun 1964 untuk tubuh buah pusat budaya bagi ganti Panggung Negara . Kerja bina mula pada tahun 1995 dan siap sepenuh pada tahun 1999 . Sudah siap dan mula operasi , Panggung Negara atau National Theater pindah ke bangun baru ini . Buka Istana Budaya dirasmikan oleh Perdana Menteri Mahathir Mohamad pada tahun 1999 . Sejarah Sejarah Istana Budaya mula pada tahun 1964 apabila cadang wujud Pusat Budaya Bangsa serah oleh Menteri Terang dan Siar serta Menteri Budaya dan Kebaji Sosial . Istana Budaya ilham masa Kongres Budaya Bangsa pada tahun 1971 bagai wahana seni Malaysia . Wujud dahulu dengan tubuh Kumpul Budaya Negara KBN pada tahun 1972 di bawah Menteri Budaya , Belia dan Sukan . Pada tahun 1973 , KBN telah pindah dari Jalan Ampang ke Kompleks Budaya Negara di Jalan Tun Ismail yang tumpu giat cara professional dalam bidang seni tari dan seni muzik tradisional . Istana Budaya mula bina pada tahun 1995 dengan kos bina banyak RM210 juta yang punya luas 5 44 hektar serta luas lantai 21 000 meter persegi . Istana Budaya boleh bangga bagai buah panggung yang pertama di Asia yang punya mekanisme pentas yang canggih untuk mentas teater . Rekabentuk bangun ini adalah ciri budaya Melayu . Istana Budaya letak hampir Tasik Titiwangsa di Jalan Tun Razak , Kuala Lumpur . Bina telah siap pada tahun 1998 . Buka Istana Budaya dirasmikan oleh bekas Perdana Menteri Malaysia , Tun Dr Mahathir Mohammad pada tahun 1999 . Nama Istana Budaya hanya muncul telah ia dirasmikan pada 15 September 1999 mana belum ia rujuk bagai Panggung Negara . Kabinet telah putus pemansuhan guna nama Panggung Negara kepada ISTANA BUDAYA cara rasmi pada tahun 2000 . Objektif Tubuh Istana Budaya tuju untuk naik taraf seni pentas , bangun cemerlang artistik dalam seni teater , hasil sembah teater alit tinggi dan juga untuk naik minat dan harga orang ramai hadap seni artistik . Fungsi Rancang dan laksana sembah alit dalam bidang teater , tari dan muzik di peringkat nasional dan antarabangsa . Tingkat kuantiti sembah yang cemerlang dan unggul di Malaysia . Rancang dan laksana strategi pasar yang kesan lalu teknologi komunikasi bagi tingkat khalayak . Sedia khidmat nasihat dan tingkat pakar seni sembah pentas . Seni bina Uni senibina Istana Budaya sandar konsep beberapa aspek budaya Melayu . Lihat dari atas , bangun Istana Budaya bentuk seperti wau bulan Lantan . Bentuk bangun pula seperti sirih junjung lambang mula upacara yang sering guna dalam istiadat perkahwinan Melayu dan upacara sambut tetamu . Bangun konsep bentuk rumah Melayu dengan tiga bahagian utama serambi untuk lobi , rumah ibu untuk Panggung Sari , serta rumah","Rancang dan laksana sembah alit dalam bidang teater , tari dan muzik di peringkat nasional dan antarabangsa ."
Mengapa istana budaya menjadi tempat tarikan pelancong?,istana budaya,"Istana Budaya cara rasmi singkat bagai IB ialah teater utama Malaysia untuk sembah seni dan teater dari dalam dan luar negara masuk teater muzikal , opereta , opera , seni tari dan juga sembah orkestra muzik klasikal dan konsert . Ia tubuh pada September 1999 dan letak bahan dengan Balai Seni Lukis Negara di Jalan Tun Abdul Razak di tengah bandaraya Kuala Lumpur . Idea bina teater taraf antarabangsa ini mula dengan cadang pada tahun 1964 untuk tubuh buah pusat budaya bagi ganti Panggung Negara . Kerja bina mula pada tahun 1995 dan siap sepenuh pada tahun 1999 . Sudah siap dan mula operasi , Panggung Negara atau National Theater pindah ke bangun baru ini . Buka Istana Budaya dirasmikan oleh Perdana Menteri Mahathir Mohamad pada tahun 1999 . Sejarah Sejarah Istana Budaya mula pada tahun 1964 apabila cadang wujud Pusat Budaya Bangsa serah oleh Menteri Terang dan Siar serta Menteri Budaya dan Kebaji Sosial . Istana Budaya ilham masa Kongres Budaya Bangsa pada tahun 1971 bagai wahana seni Malaysia . Wujud dahulu dengan tubuh Kumpul Budaya Negara KBN pada tahun 1972 di bawah Menteri Budaya , Belia dan Sukan . Pada tahun 1973 , KBN telah pindah dari Jalan Ampang ke Kompleks Budaya Negara di Jalan Tun Ismail yang tumpu giat cara professional dalam bidang seni tari dan seni muzik tradisional . Istana Budaya mula bina pada tahun 1995 dengan kos bina banyak RM210 juta yang punya luas 5 44 hektar serta luas lantai 21 000 meter persegi . Istana Budaya boleh bangga bagai buah panggung yang pertama di Asia yang punya mekanisme pentas yang canggih untuk mentas teater . Rekabentuk bangun ini adalah ciri budaya Melayu . Istana Budaya letak hampir Tasik Titiwangsa di Jalan Tun Razak , Kuala Lumpur . Bina telah siap pada tahun 1998 . Buka Istana Budaya dirasmikan oleh bekas Perdana Menteri Malaysia , Tun Dr Mahathir Mohammad pada tahun 1999 . Nama Istana Budaya hanya muncul telah ia dirasmikan pada 15 September 1999 mana belum ia rujuk bagai Panggung Negara . Kabinet telah putus pemansuhan guna nama Panggung Negara kepada ISTANA BUDAYA cara rasmi pada tahun 2000 . Objektif Tubuh Istana Budaya tuju untuk naik taraf seni pentas , bangun cemerlang artistik dalam seni teater , hasil sembah teater alit tinggi dan juga untuk naik minat dan harga orang ramai hadap seni artistik . Fungsi Rancang dan laksana sembah alit dalam bidang teater , tari dan muzik di peringkat nasional dan antarabangsa . Tingkat kuantiti sembah yang cemerlang dan unggul di Malaysia . Rancang dan laksana strategi pasar yang kesan lalu teknologi komunikasi bagi tingkat khalayak . Sedia khidmat nasihat dan tingkat pakar seni sembah pentas . Seni bina Uni senibina Istana Budaya sandar konsep beberapa aspek budaya Melayu . Lihat dari atas , bangun Istana Budaya bentuk seperti wau bulan Lantan . Bentuk bangun pula seperti sirih junjung lambang mula upacara yang sering guna dalam istiadat perkahwinan Melayu dan upacara sambut tetamu . Bangun konsep bentuk rumah Melayu dengan tiga bahagian utama serambi untuk lobi , rumah ibu untuk Panggung Sari , serta rumah",Rancang dan laksana strategi pasar yang kesan lalu teknologi komunikasi bagi tingkat khalayak.
Apakah keunikan istana jahar?,istana jahar,"Istana Jahar yang letak hampir dengan Istana Balai Besar adalah di antara istana yang tarik yang dapat di sekitar bandar Kota Bharu . Malah Istana Jahar ini juga telah mula bina dalam masa perintah Sultan Muhammad II 1837 - 1886 telah buka bandar Kota Bharu dan bina Istana Balai Besar . Tuju bina Istana Jahar oleh Sultan Muhammad II ini adalah untuk dikurniakan kepada cucunda yang nama Long Kundur Bendahara . Ikut mangkat Sultan Muhammad II pada tahun 1886 , takhta negeri Lantan ganti oleh Long Sulong yang perintah dengan gelar Sultan Ahmad . Pada masa perintah baginda Istana Jahar terus bina sehingga ia siap . Pada tahun 1889 , telah tiga tahun di atas takhta Raja , Sultan Ahmad mangkat dan ganti oleh Long Kundur Bendahara dengan gelar Sultan Muhammad III . Baginda Sultan Muhammad III telah jadi Istana Jahar bagai tempat semayam baginda , selain daripada Istana Balai Besar . Pada masa perintah Sultan Muhamad IV , baginda telah jadi Istana Balai Besar bagai tempat semayam baginda . Namun Istana Jahar masih juga guna . Istana ini tidak punya nama sehingga pada tahun 1911 lepas Sultan Muhamad IV pulang daripada lawat Singapura dan baik Istana ini . Istana ini beri nama Istana Jahar , ambil sempena nama daripada jenis pokok bunga yang hias halaman Istana Jahar . Istana ini kemudian dikurniakan kepada puteranya Tengku Ismail yang gelar Tengku Seri Indera Mahkota . Lepas mangkat Sultan Muhamad IV pada tahun 1920 , puteranya Tengku Ismail ganti baginda naik takhta Raja Lantan gelar Sultan Ismail . Sultan Ismail tidak semayam di Istana Balai Besar balik semayam di Istana Jahar iaitu istana yang dikurniakan oleh Almarhum ayahanda baginda . sultan Lantan yang kemudian seperti Sultan Ibrahim 1944 - 1960 dan Sultan Yahya Tra 1960 - 1979 tidak lagi semayam di Istana Jahar balik punya istana sendiri . Istana Jahar kini jadi bagai Muzium Diraja Negeri Lantan . Muzium ini pamer sejarah sultan Negeri Lantan daripada zaman awal hingga kepada perintah Sultan Lantan pada masa sekarang . Ruang pamer yang dapat di bangun Muzium ini dibahagikan kepada beberapa bahagian seperti alat senjata , pakai tradisi , dan hal lain yang kait dengan sultan . Walaupun telah jadi Muzium tetapi reka bentuk asal bangun ini tetap pelihara . Seni bina yang unik dengan ukir yang cantik telah nyeri lagi bangun istana yang jadi muzium itu . Istana Jahar yang letak di sisi Istana Balai Besar di tengah bandar Kota Bharu adalah contoh waris seni bina Melayu yang indah dan tarik . Sekira anda sempat kunjung ke sini , Istana Jahar dan istana lain di sekitar jelas lihat di tengah bangun baru dan moden . Namun bangun pesat kawasan sekitar tidak jejas bangun waris bangsa yang banyak simpan rahsia sejarah .",Seni bina yang unik dengan ukir yang cantik telah nyeri lagi bangun istana yang jadi muzium itu
Mengapa istana jahar menjadi tempat tarikan pelancong?,istana jahar,"Istana Jahar yang letak hampir dengan Istana Balai Besar adalah di antara istana yang tarik yang dapat di sekitar bandar Kota Bharu . Malah Istana Jahar ini juga telah mula bina dalam masa perintah Sultan Muhammad II 1837 - 1886 telah buka bandar Kota Bharu dan bina Istana Balai Besar . Tuju bina Istana Jahar oleh Sultan Muhammad II ini adalah untuk dikurniakan kepada cucunda yang nama Long Kundur Bendahara . Ikut mangkat Sultan Muhammad II pada tahun 1886 , takhta negeri Lantan ganti oleh Long Sulong yang perintah dengan gelar Sultan Ahmad . Pada masa perintah baginda Istana Jahar terus bina sehingga ia siap . Pada tahun 1889 , telah tiga tahun di atas takhta Raja , Sultan Ahmad mangkat dan ganti oleh Long Kundur Bendahara dengan gelar Sultan Muhammad III . Baginda Sultan Muhammad III telah jadi Istana Jahar bagai tempat semayam baginda , selain daripada Istana Balai Besar . Pada masa perintah Sultan Muhamad IV , baginda telah jadi Istana Balai Besar bagai tempat semayam baginda . Namun Istana Jahar masih juga guna . Istana ini tidak punya nama sehingga pada tahun 1911 lepas Sultan Muhamad IV pulang daripada lawat Singapura dan baik Istana ini . Istana ini beri nama Istana Jahar , ambil sempena nama daripada jenis pokok bunga yang hias halaman Istana Jahar . Istana ini kemudian dikurniakan kepada puteranya Tengku Ismail yang gelar Tengku Seri Indera Mahkota . Lepas mangkat Sultan Muhamad IV pada tahun 1920 , puteranya Tengku Ismail ganti baginda naik takhta Raja Lantan gelar Sultan Ismail . Sultan Ismail tidak semayam di Istana Balai Besar balik semayam di Istana Jahar iaitu istana yang dikurniakan oleh Almarhum ayahanda baginda . sultan Lantan yang kemudian seperti Sultan Ibrahim 1944 - 1960 dan Sultan Yahya Tra 1960 - 1979 tidak lagi semayam di Istana Jahar balik punya istana sendiri . Istana Jahar kini jadi bagai Muzium Diraja Negeri Lantan . Muzium ini pamer sejarah sultan Negeri Lantan daripada zaman awal hingga kepada perintah Sultan Lantan pada masa sekarang . Ruang pamer yang dapat di bangun Muzium ini dibahagikan kepada beberapa bahagian seperti alat senjata , pakai tradisi , dan hal lain yang kait dengan sultan . Walaupun telah jadi Muzium tetapi reka bentuk asal bangun ini tetap pelihara . Seni bina yang unik dengan ukir yang cantik telah nyeri lagi bangun istana yang jadi muzium itu . Istana Jahar yang letak di sisi Istana Balai Besar di tengah bandar Kota Bharu adalah contoh waris seni bina Melayu yang indah dan tarik . Sekira anda sempat kunjung ke sini , Istana Jahar dan istana lain di sekitar jelas lihat di tengah bangun baru dan moden . Namun bangun pesat kawasan sekitar tidak jejas bangun waris bangsa yang banyak simpan rahsia sejarah .",Seni bina yang unik dengan ukir yang cantik telah nyeri lagi bangun istana yang jadi muzium itu.
Mengapa istana kellie menjadi tempat tarikan pelancong?,istana kellie,"Istana Kellie atau Kellies Castle kadang gelar Silap Kellie Kellies Folly ialah buah istana kota yang letak di tepi jalan Simpang Pulai ke Batu Gajah , Negeri Perak . Sejarah Rumah Istana Kellie atau Rumah Kellas telah bina pada tahun 1905 oleh orang ladang getah muka Scotland nama William Kellie Smith . Bangun tiga tingkat bina ikut reka bentuk buah istana Moghul di bandar Agra , India . tukang bina bangun sebut bawa khas dari Madras . William Kellie Smith adalah dari buah kampung di Scotland yang nali bagai Kellas . Pada tahun 1890 , ketika usia 20 tahun , Smith tiba belum Tanah Melayu bangun . Tanah Melayu , beliau temu dengan orang milik tanah nama Alma Baker , yang telah tang konsesi dari perintah negara untuk teroka 360 hektar hutan di Perak . Dengan untung besar yang buat daripada niaga sama bisnes venture dengan Alma Baker , Smith mula tanam pohon getah dan cebur industri lombong timah . Waktu dengan itu , dia jadi milik Rumah Kinta Kellas dan Kinta Kellas Tin Dredging Company . Kemudian beliau kembali ke rumah beliau untuk berkahwin dengan orang Scotland cinta , Agnes , dan isterinya bawa ke Tanah Melayu pada tahun 1903 . Tahun ikut , pasang ini kati dengan anak perempuan mereka yang nama Helen . Lama tahun lepas itu , Agnes usaha untuk hamil , tapi gagal . William Smith terlalu harap orang anak lelaki bagai waris untuk ambil alih raja itu di Pulau Melayu . Telah tahun lepas itu , akhir Agnes telah lahir orang anak lelaki nama Anthony , pada tahun 1915 . Lahir anak ialah peringkat awal bagi untung yang lebih besar untuk William Smith . Bagi raya lahir Anthony , William Smith telah putus untuk luas rumah . Smith mulai ancang untuk cadang istana besar yang rancang untuk gelar bagai Rumah Kellas Kellas House , sempena rumah di Scotland . Bangun ini punya 14 buah bilik , buah bilik bawah tanah dan terowong rahsia itu juga lengkap dengan lif yang pertama bina Tanah Melayu . Di tingkat dua pula akan bina buah padang tenis lantai simen . Berita kena bangun ini pernah siar dalam akhbar London Financer pada 15 September 1911 . Akhbar itu kata Kellas House itu rupa bangun yang paling sendiri di seluruh Timur Jauh , sama ada dari segi bentuk atau besar . Bangun ini tidak sempat siap telah Kellie Smith tinggal dunia di Labuh Lisbon , Portugal untuk ambil lif yang tempah pada 11 Disember 1926 . Bangun yang kekal dalam ada sedang bina telah jadi tari unjung ke Batu Gajah kerana uni . Ancang dan bina awal Oleh kerana terlalu taksub dengan agama Hindu dan budaya India , Smith rancang rumah ini bagi bentuk mirip senibina orang Madras , dengan semua batu bata dan seramik diimport dari India . Dia turut bawa jumlah besar kerja buruh India dalam impi untuk bina Rumah Kellas turut seni bina India asli . Bangun ini dapat lalu dari jalan utama dengan jalan rang jambat yang lintas sungai . Demikian , bukan kos mengimport bahan dan buruh",Bangun yang kekal dalam ada sedang bina telah jadi tari unjung ke Batu Gajah kerana uni.
Apa yang boleh dilakukan di istana negara?,istana negara,"Istana Negara rujuk kepada tiga tempat yang ikut Istana Negara , Jalan Duta , tempat diam kini Yang Di-Pertuan Agong Malaysia Istana Negara , Jalan Istana , tempat diam dahulu Yang Di-Pertuan Agong Malaysia Istana Negara , Jakarta , tempat diam sambut tetamu rasmi Presiden Indonesia","Pengunjung boleh melihat struktur seni bina diraja, mengenali sejarah institusi beraja Malaysia dan menyaksikan upacara pertukaran pengawal diraja."
Apa aktiviti popular di istana negara?,istana negara,"Istana Negara rujuk kepada tiga tempat yang ikut Istana Negara , Jalan Duta , tempat diam kini Yang Di-Pertuan Agong Malaysia Istana Negara , Jalan Istana , tempat diam dahulu Yang Di-Pertuan Agong Malaysia Istana Negara , Jakarta , tempat diam sambut tetamu rasmi Presiden Indonesia","Aktiviti popular termasuk lawatan berpandu ke galeri pameran, mengambil gambar dengan pengawal istana, dan pelajari sejarah raja-raja Malaysia."
Manakah istana negara?,istana negara,"Istana Negara rujuk kepada tiga tempat yang ikut Istana Negara , Jalan Duta , tempat diam kini Yang Di-Pertuan Agong Malaysia Istana Negara , Jalan Istana , tempat diam dahulu Yang Di-Pertuan Agong Malaysia Istana Negara , Jakarta , tempat diam sambut tetamu rasmi Presiden Indonesia","Istana Negara kini terletak di Jalan Duta, Kuala Lumpur. Ia merupakan kediaman rasmi Yang di-Pertuan Agong Malaysia. Terdapat juga Istana Negara lama yang terletak di Jalan Istana, Kuala Lumpur."
Apa yang menarik di jambatan angkat terengganu?,jambatan angkat terengganu,"Jambat Angkat Kuala Terengganu rupa buah jambat imbang yang letak di Kuala Terengganu , Terengganu , Malaysia . Ia rupa jambat empat di kawasan bandar Kuala Terengganu yang rang Sungai Terengganu lepas Jambat Sultan Mahmud , Jambat Manir dan Jambat Pulau Sekati . Jambat Angkat Kuala Terengganu rupa buah projek dalam inisiatif Wilayah Ekonomi Pantai Timur ECER . Jambat imbang sulung di Malaysia ini bina oleh Zan Construction Sdn Bhd dengan tel belanja RM248 juta . Kerja bina mula pada Ogos 2014 dan siap pada tengah tahun 2019 . Jambat angkat ini juga rupa sebahagian daripada projek bangun Kuala Terengganu City Centre KTCC . Jambat Angkat Kuala Terengganu buka untuk tempoh percubaan dari 2 hingga 17 Jun waktu musim raya Aidilfitri , kemudian tutup mula untuk beri ruang kepada kerja uji dan penambahbaikan . Akhir ia buka kepada kenderaan dan pejal kaki pada 1 Ogos 2019 . Reka bentuk Reka bentuk dapat ilham daripada Tower Bridge di London yang juga bentuk jambat imbang . Ia punya jalan raya satu jalur , dua hala dengan lebar 23 meter yang rentang 638 meter di atas muara Sungai Terengganu . Ia hubung Muara Selatan , buah kawasan tanah tebus guna di pusat bandar dekat Tanjung , dengan Muara Utara di Seberang Takir . Dapat ruang legar setinggi 12 5 meter dari paras air ke jambat apabila daun tutup . Rentang legar ialah 50 meter . Dapat empat batang menara 15 meter tinggi , pasang untuk tiap pangkal daun jambat , tiap pasang hubung dengan jejantas . Tiap menara pangkal lobi untuk boleh unjung naik kawasan niaga yang letak di dalam jejantas . Pada waktu malam , jambat sari hias lampu berwarna-warni . Jambat angkat boleh guna pendek waktu jalan antara Lapang Terbang Sultan Mahmud atau Universiti Malaysia Terengganu dan Kuala Terengganu banyak 15 minit . Batang jalan raya empat lorong di pesisir pantai telah bina untuk hubung jambat dengan Kuala Nus . Galeri Rujuk Paut luar Infografik Jambat Angkat Terengganu","Jambatan ini menarik kerana reka bentuknya diinspirasi dari Tower Bridge London, dihiasi lampu berwarna-warni pada waktu malam, dan merupakan jambatan angkat pertama di Malaysia."
Apa yang boleh dilakukan di jambatan angkat terengganu?,jambatan angkat terengganu,"Jambat Angkat Kuala Terengganu rupa buah jambat imbang yang letak di Kuala Terengganu , Terengganu , Malaysia . Ia rupa jambat empat di kawasan bandar Kuala Terengganu yang rang Sungai Terengganu lepas Jambat Sultan Mahmud , Jambat Manir dan Jambat Pulau Sekati . Jambat Angkat Kuala Terengganu rupa buah projek dalam inisiatif Wilayah Ekonomi Pantai Timur ECER . Jambat imbang sulung di Malaysia ini bina oleh Zan Construction Sdn Bhd dengan tel belanja RM248 juta . Kerja bina mula pada Ogos 2014 dan siap pada tengah tahun 2019 . Jambat angkat ini juga rupa sebahagian daripada projek bangun Kuala Terengganu City Centre KTCC . Jambat Angkat Kuala Terengganu buka untuk tempoh percubaan dari 2 hingga 17 Jun waktu musim raya Aidilfitri , kemudian tutup mula untuk beri ruang kepada kerja uji dan penambahbaikan . Akhir ia buka kepada kenderaan dan pejal kaki pada 1 Ogos 2019 . Reka bentuk Reka bentuk dapat ilham daripada Tower Bridge di London yang juga bentuk jambat imbang . Ia punya jalan raya satu jalur , dua hala dengan lebar 23 meter yang rentang 638 meter di atas muara Sungai Terengganu . Ia hubung Muara Selatan , buah kawasan tanah tebus guna di pusat bandar dekat Tanjung , dengan Muara Utara di Seberang Takir . Dapat ruang legar setinggi 12 5 meter dari paras air ke jambat apabila daun tutup . Rentang legar ialah 50 meter . Dapat empat batang menara 15 meter tinggi , pasang untuk tiap pangkal daun jambat , tiap pasang hubung dengan jejantas . Tiap menara pangkal lobi untuk boleh unjung naik kawasan niaga yang letak di dalam jejantas . Pada waktu malam , jambat sari hias lampu berwarna-warni . Jambat angkat boleh guna pendek waktu jalan antara Lapang Terbang Sultan Mahmud atau Universiti Malaysia Terengganu dan Kuala Terengganu banyak 15 minit . Batang jalan raya empat lorong di pesisir pantai telah bina untuk hubung jambat dengan Kuala Nus . Galeri Rujuk Paut luar Infografik Jambat Angkat Terengganu","Pelawat boleh menikmati pemandangan muara Sungai Terengganu, merakam gambar, dan mengakses menara jejantas untuk membeli-belah atau menjamu selera."
Manakah jambatan angkat terengganu?,jambatan angkat terengganu,"Jambat Angkat Kuala Terengganu rupa buah jambat imbang yang letak di Kuala Terengganu , Terengganu , Malaysia . Ia rupa jambat empat di kawasan bandar Kuala Terengganu yang rang Sungai Terengganu lepas Jambat Sultan Mahmud , Jambat Manir dan Jambat Pulau Sekati . Jambat Angkat Kuala Terengganu rupa buah projek dalam inisiatif Wilayah Ekonomi Pantai Timur ECER . Jambat imbang sulung di Malaysia ini bina oleh Zan Construction Sdn Bhd dengan tel belanja RM248 juta . Kerja bina mula pada Ogos 2014 dan siap pada tengah tahun 2019 . Jambat angkat ini juga rupa sebahagian daripada projek bangun Kuala Terengganu City Centre KTCC . Jambat Angkat Kuala Terengganu buka untuk tempoh percubaan dari 2 hingga 17 Jun waktu musim raya Aidilfitri , kemudian tutup mula untuk beri ruang kepada kerja uji dan penambahbaikan . Akhir ia buka kepada kenderaan dan pejal kaki pada 1 Ogos 2019 . Reka bentuk Reka bentuk dapat ilham daripada Tower Bridge di London yang juga bentuk jambat imbang . Ia punya jalan raya satu jalur , dua hala dengan lebar 23 meter yang rentang 638 meter di atas muara Sungai Terengganu . Ia hubung Muara Selatan , buah kawasan tanah tebus guna di pusat bandar dekat Tanjung , dengan Muara Utara di Seberang Takir . Dapat ruang legar setinggi 12 5 meter dari paras air ke jambat apabila daun tutup . Rentang legar ialah 50 meter . Dapat empat batang menara 15 meter tinggi , pasang untuk tiap pangkal daun jambat , tiap pasang hubung dengan jejantas . Tiap menara pangkal lobi untuk boleh unjung naik kawasan niaga yang letak di dalam jejantas . Pada waktu malam , jambat sari hias lampu berwarna-warni . Jambat angkat boleh guna pendek waktu jalan antara Lapang Terbang Sultan Mahmud atau Universiti Malaysia Terengganu dan Kuala Terengganu banyak 15 minit . Batang jalan raya empat lorong di pesisir pantai telah bina untuk hubung jambat dengan Kuala Nus . Galeri Rujuk Paut luar Infografik Jambat Angkat Terengganu","Jambatan Angkat Terengganu terletak di muara Sungai Terengganu, Kuala Terengganu, Terengganu. Ia menghubungkan Muara Selatan (kawasan pusat bandar) dengan Muara Utara (Seberang Takir)."
Mengapa kampung orang asli sungai judah menjadi tempat tarikan pelancong?,kampung orang asli sungai judah,"Kampung Orang Asli Sungai Judah letak di Pulau Carey , Selangor . Kampung ini duduk oleh orang asli dari rumpun Mahmeri dan tuai oleh orang tok batin yang kini jawat oleh Atah anak Yah . Di Pulau Carey itu sendiri , dapat lima kampung orang asli - Kampung Orang Asli kepau laut , Pulau Carey Kampung Orang Asli Sungei Kurau , Pulau Carey Kampung Orang Asli Sungei Judah , Pulau Carey Kampung Orang Asli Sungei Bumbun , Pulau Carey Kampung Orang Asli Sungei rambai , Pulau Carey Di sana juga dapat 2 orang gerak masyarakat orang asli iaitu Mohamad Rosli bin Mustapa yang jaga kampung Orang Asli Sungai Judah , Sungai Kurau dan Kepau Laut manakala Mohd Amli Bin Yaakop jaga kampung Orang Asli Sungai Bumbun Dan Sungai Rambai . Dapat juga 2 orang guru agama yang ajar masyarakat orang asli yang agama Islam di situ iaitu Ustazah Noriah binti Syne dan Ustaz Roszani bin Roslan .","Kerana ia menampilkan budaya masyarakat Mahmeri, tradisi unik dan lokasi di Pulau Carey yang menyimpan nilai warisan."
Apa aktiviti popular di kampung orang asli sungai judah?,kampung orang asli sungai judah,"Kampung Orang Asli Sungai Judah letak di Pulau Carey , Selangor . Kampung ini duduk oleh orang asli dari rumpun Mahmeri dan tuai oleh orang tok batin yang kini jawat oleh Atah anak Yah . Di Pulau Carey itu sendiri , dapat lima kampung orang asli - Kampung Orang Asli kepau laut , Pulau Carey Kampung Orang Asli Sungei Kurau , Pulau Carey Kampung Orang Asli Sungei Judah , Pulau Carey Kampung Orang Asli Sungei Bumbun , Pulau Carey Kampung Orang Asli Sungei rambai , Pulau Carey Di sana juga dapat 2 orang gerak masyarakat orang asli iaitu Mohamad Rosli bin Mustapa yang jaga kampung Orang Asli Sungai Judah , Sungai Kurau dan Kepau Laut manakala Mohd Amli Bin Yaakop jaga kampung Orang Asli Sungai Bumbun Dan Sungai Rambai . Dapat juga 2 orang guru agama yang ajar masyarakat orang asli yang agama Islam di situ iaitu Ustazah Noriah binti Syne dan Ustaz Roszani bin Roslan .","Aktiviti seperti melihat ukiran kayu tradisional Mahmeri, menyaksikan tarian budaya dan berinteraksi dengan komuniti setempat adalah popular."
